,ID,FULL TEXT,CREATED AT
14,1320952109034999810,ලැබුණු PCR වාර්තා අනුව දෙහිවල 70න් 8දෙනෙකු ආසාදිතයෝ වෙති https://t.co/L2EJJvRbJc #news- sri lanka #feedly,2020-10-27 04:54:59
15,1320731222792761345,"ජනාධිපති කාර්යාලයේ සේවා දැන් සන්නිවේදන මාධ්‍ය මගින්
#Srilankan #Srilanka #lka #Lanka #Ceylon #DGI #Government #Information #Department #News #infodprtsl #PMDNews https://t.co/gzVtZGAEa7",2020-10-26 14:17:16
16,1320731199975739392,මහරගම පන්නිපිටිය ඇඹුල්දෙණිය රෝගීන් 15ක් වාර්තා වෙයි https://t.co/f8X13v4TJ2 #news- sri lanka #feedly,2020-10-26 14:17:10
17,1320710484069265408,"👉ඔබට වැදගත් වන දුරකථන අංක👈
#Srilankan #Srilanka #lka #Lanka #Ceylon #DGI #Government #Information #Department #News #infodprtsl #coronavirus #covid #corona #staysafe #socialdistancing #virus #coronav #pandemic https://t.co/cuIU15H6UQ",2020-10-26 12:54:51
18,1320710477916196865,"👉ඔබට වැදගත් වන දුරකථන අංක👈
#Srilankan #Srilanka #lka #Lanka #Ceylon #DGI #Government #Information #Department #News #infodprtsl #coronavirus #covid #corona #staysafe #socialdistancing #virus #coronav #pandemic https://t.co/HcHI2KF4oQ",2020-10-26 12:54:50
19,1320710471989653506,"👉ඔබට වැදගත් වන දුරකථන අංක👈
#Srilankan #Srilanka #lka #Lanka #Ceylon #DGI #Government #Information #Department #News #infodprtsl #coronavirus #covid #corona #staysafe #socialdistancing #virus #coronav #pandemic https://t.co/69SOAWOunJ",2020-10-26 12:54:48
20,1320710465681461248,"👉ඔබට වැදගත් වන දුරකථන අංක👈
#Srilankan #Srilanka #lka #Lanka #Ceylon #DGI #Government #Information #Department #News #infodprtsl #coronavirus #covid #corona #staysafe #socialdistancing #virus #coronav #pandemic https://t.co/YjJ62FNvTT",2020-10-26 12:54:47
21,1320710459612262400,"👉ඔබට වැදගත් වන දුරකථන අංක👈
#Srilankan #Srilanka #lka #Lanka #Ceylon #DGI #Government #Information #Department #News #infodprtsl #coronavirus #covid #corona #staysafe #socialdistancing #virus #coronav #pandemic https://t.co/huANHQ4Y0f",2020-10-26 12:54:45
22,1320710453400535042,"👉ඔබට වැදගත් වන දුරකථන අංක👈
#Srilankan #Srilanka #lka #Lanka #Ceylon #DGI #Government #Information #Department #News #infodprtsl #coronavirus #covid #corona #staysafe #socialdistancing #virus #coronav #pandemic https://t.co/Lljbkbns9f",2020-10-26 12:54:44
23,1320710447062872064,"👉ඔබට වැදගත් වන දුරකථන අංක👈
#Srilankan #Srilanka #lka #Lanka #Ceylon #DGI #Government #Information #Department #News #infodprtsl #coronavirus #covid #corona #staysafe #socialdistancing #virus #coronav #pandemic https://t.co/lZwQn8Bgfl",2020-10-26 12:54:42
24,1320710440943415296,"👉ඔබට වැදගත් වන දුරකථන අංක👈
#Srilankan #Srilanka #lka #Lanka #Ceylon #DGI #Government #Information #Department #News #infodprtsl #coronavirus #covid #corona #staysafe #socialdistancing #virus #coronav #pandemic https://t.co/a1OPoHPZpe",2020-10-26 12:54:41
25,1320710435062992896,"👉ඔබට වැදගත් වන දුරකථන අංක👈
#Srilankan #Srilanka #lka #Lanka #Ceylon #DGI #Government #Information #Department #News #infodprtsl #coronavirus #covid #corona #staysafe #socialdistancing #virus #coronav #pandemic https://t.co/UIOjoZdfD2",2020-10-26 12:54:39
